,具体地址,单价,建造年份,总价,房型,标题,楼层,链接,面积
88,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,13600元/m²,2014年建造,170,3室2厅,绿地国际博览城一期，170万，124平通透大三房，三个阳台，,低层(共27层),https://nc.anjuke.com/prop/view/A1586436183?from=filter&spread=filtersearch_t&position=29&kwtype=filter&now_time=1550744821,125m²
89,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,14341元/m²,2015年建造,178,3室2厅,绿地国际博览城 一期房东置换！急售！急售！主卧带阳台大三房,高层(共32层),https://nc.anjuke.com/prop/view/A1584994400?from=filter&spread=filtersearch_t&position=30&kwtype=filter&now_time=1550744821,124m²
90,绿地悦城D区  红谷滩-九龙湖新区-西站大街,15933元/m²,2015年建造,228,3室2厅,绿地悦城 读南师附小外国语 地铁旁 好楼层 产证在手 急售,高层(共18层),https://nc.anjuke.com/prop/view/A1587105327?from=filter&spread=filtersearch_t&position=31&kwtype=filter&now_time=1550744821,143m²
91,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,13565元/m²,2015年建造,156,3室2厅,万达城粹叠园旁 视野无档 采光很好 还有车位的江景房,高层(共32层),https://nc.anjuke.com/prop/view/A1578457744?from=filter&spread=filtersearch_t&position=32&kwtype=filter&now_time=1550744821,115m²
92,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,10811元/m²,2018年建造,40,1室1厅,九龙湖的中心位置省政府旁边宜住宜办公的江景房公寓。,高层(共27层),https://nc.anjuke.com/prop/view/A1587974389?from=filter&spread=filtersearch_t&position=33&kwtype=filter&now_time=1550744821,37m²
93,恒天时尚中心  红谷滩-九龙湖新区-赣江南大道1566号,9048元/m²,2017年建造,38,1室1厅,绿地双层江景公寓单价9000起来电减6万地铁口省府旁,中层(共18层),https://nc.anjuke.com/prop/view/A1588428914?from=filter&spread=filtersearch_t&position=34&kwtype=filter&now_time=1550744821,42m²
94,"九龙郡  红谷滩-九龙湖新区-圭峰大道,近西站大街",10000元/m²,2018年建造,36,1室1厅,西站旁精装公寓 高端社区纵享奢华，肆意生活，风景宜人,中层(共29层),https://nc.anjuke.com/prop/view/A1588404735?from=filter&spread=filtersearch_t&position=35&kwtype=filter&now_time=1550744821,36m²
95,九龙湖花园一区  红谷滩-九龙湖新区-祥云大道,14577元/m²,2014年建造,175,3室2厅,九龙湖中心 省政府旁 精装通透三房 诚心出售 要的速度,中层(共32层),https://nc.anjuke.com/prop/view/A1588688673?from=filter&spread=filtersearch_t&position=36&kwtype=filter&now_time=1550744821,120m²
96,绿地国际博览城御珑  红谷滩-九龙湖新区-九龙大道1177号,15684元/m²,2014年建造,149,3室2厅,绿地国博 惊现毛胚价精装通透三房，楼下地铁口，育新小学 急售,中层(共29层),https://nc.anjuke.com/prop/view/A1585746187?from=filter&spread=filtersearch_t&position=37&kwtype=filter&now_time=1550744821,95m²
97,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,15368元/m²,2014年建造,146,3室2厅,爆款 绿地国博精装3房2厅一卫 房东已经定了其他楼盘急需出手,中层(共28层),https://nc.anjuke.com/prop/view/A1588279228?from=filter&spread=filtersearch_t&position=38&kwtype=filter&now_time=1550744821,95m²
98,绿地国际博览城  红谷滩-九龙湖新区-九龙大道1177号,14777元/m²,2015年建造,141,3室2厅,绿地国博城小3房，性价比高，视野采光无挡，真实在售,高层(共32层),https://nc.anjuke.com/prop/view/A1581649222?from=filter&spread=filtersearch_t&position=39&kwtype=filter&now_time=1550744821,95m²
99,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,15156元/m²,2013年建造,145,3室2厅,国博三房，近地铁，博览中心，就读育新，南北通透，超强视野,低层(共32层),https://nc.anjuke.com/prop/view/A1583641841?from=filter&spread=filtersearch_p&position=40&kwtype=filter&now_time=1550744821,95m²
100,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,13830元/m²,2015年建造,130,3室2厅,九龙湖中心，江景房，公园畔，近地铁，房东出国急售，直接10万,中层(共32层),https://nc.anjuke.com/prop/view/A1568066803?from=filter&spread=filtersearch_p&position=41&kwtype=filter&now_time=1550744821,94m²
101,华润凯旋门  红谷滩-九龙湖新区-西站东街,15000元/m²,2016年建造,108,2室2厅,九龙湖 地铁口实用2居室 省政府西客站省妇保旁 有钥匙可看房,中层(共32层),https://nc.anjuke.com/prop/view/A1568459141?from=filter&spread=filtersearch_p&position=42&kwtype=filter&now_time=1550744821,72m²
102,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,13789元/m²,2015年建造,131,3室2厅,诚心出售！绿地国际博览城二期三房  近地铁  看中价格好谈,中层(共32层),https://nc.anjuke.com/prop/view/A1586452068?from=filter&spread=filtersearch_p&position=43&kwtype=filter&now_time=1550744821,95m²
103,华润凯旋门  红谷滩-九龙湖新区-西站东街,15139元/m²,2016年建造,109,2室2厅,诚意急售！精致2房九龙湖 西站旁 华润凯旋门 2号线地铁口,低层(共32层),https://nc.anjuke.com/prop/view/A1554826525?from=filter&spread=filtersearch_p&position=44&kwtype=filter&now_time=1550744821,72m²
104,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,13895元/m²,2014年建造,132,3室2厅,绿地国际博览城卧珑 小三房 中上楼层 视野无挡 楼下是地铁口,高层(共32层),https://nc.anjuke.com/prop/view/A1587521361?from=filter&spread=filtersearch_p&position=45&kwtype=filter&now_time=1550744821,95m²
105,绿地国际博览城博君  红谷滩-九龙湖新区-九龙大道1177号,14211元/m²,2015年建造,135,3室1厅,保真 房 绿地国际博览城二期博君 江景 地铁口 方正三房,高层(共32层),https://nc.anjuke.com/prop/view/A1570419064?from=filter&spread=filtersearch_p&position=46&kwtype=filter&now_time=1550744821,95m²
106,绿地国际博览城君珑  红谷滩-九龙湖新区-九龙大道1177号,14211元/m²,2015年建造,135,3室2厅,实拍房源 国博城，可读育新名校，地铁300米，红本在手，急售,中层(共32层),https://nc.anjuke.com/prop/view/A1584235125?from=filter&spread=filtersearch_p&position=47&kwtype=filter&now_time=1550744821,95m²
107,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,14787元/m²,2016年建造,139,3室2厅,九龙湖绿地国际博览城三房地铁口旁南北通透业主着急置换诚心出售,中层(共32层),https://nc.anjuke.com/prop/view/A1587420183?from=filter&spread=filtersearch_p&position=48&kwtype=filter&now_time=1550744821,94m²
108,华润凯旋门  红谷滩-九龙湖新区-西站东街,15909元/m²,2015年建造,140,3室2厅,华润凯旋门小高层南北通透3房低总价140万 视野无敌,低层(共11层),https://nc.anjuke.com/prop/view/A1528894399?from=filter&spread=filtersearch_p&position=49&kwtype=filter&now_time=1550744821,88m²
109,绿地国际博览城博浩  红谷滩-九龙湖新区-九龙大道1177号,14839元/m²,2014年建造,138,3室2厅,绿地国际博览城 刚需小三房 视野开阔 环境优美 读南昌二中,中层(共30层),https://nc.anjuke.com/prop/view/A1587519461?from=filter&spread=filtersearch_p&position=50&kwtype=filter&now_time=1550744821,93m²
110,华润凯旋门  红谷滩-九龙湖新区-西站东街,14943元/m²,2014年建造,130,3室2厅,九龙湖不限购 华润凯旋门 龙岗地铁站 九年制学校 看中谈价,高层(共31层),https://nc.anjuke.com/prop/view/A1565164488?from=filter&spread=filtersearch_p&position=51&kwtype=filter&now_time=1550744821,87m²
111,华润凯旋门  红谷滩-九龙湖新区-西站东街,15056元/m²,2015年建造,134,3室2厅,九龙湖华润凯旋门洋房小高层 南北通透三房 得房率高楼下龙岗站,高层(共11层),https://nc.anjuke.com/prop/view/A1587519588?from=filter&spread=filtersearch_p&position=52&kwtype=filter&now_time=1550744821,89m²
112,绿地国际博览城卧珑  红谷滩-九龙湖新区-九龙大道1177号,14737元/m²,2015年建造,140,3室2厅,绿地一期楼下育新小学 房东资金周转急急急急急出售 看上就卖！,低层(共32层),https://nc.anjuke.com/prop/view/A1540645916?from=filter&spread=filtersearch_p&position=53&kwtype=filter&now_time=1550744821,95m²
113,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,14839元/m²,2014年建造,138,3室2厅,独有小三房，低总价，视野好，房东诚心出售！随时可以看房,中层(共32层),https://nc.anjuke.com/prop/view/A1567905565?from=filter&spread=filtersearch_p&position=54&kwtype=filter&now_time=1550744821,93m²
114,绿地国际博览城御珑  红谷滩-九龙湖新区-九龙大道1177号,15474元/m²,2014年建造,147,3室2厅,急售，老房东挂牌，急等用钱，绿地国愽三房给价就卖，钥匙在手,中层(共32层),https://nc.anjuke.com/prop/view/A1579405429?from=filter&spread=filtersearch_p&position=55&kwtype=filter&now_time=1550744821,95m²
115,华润凯旋门  红谷滩-九龙湖新区-西站东街,15213元/m²,2015年建造,135,3室2厅,九龙湖西站旁 房东低 价出售 得房率超高 位置极好,低层(共11层),https://nc.anjuke.com/prop/view/A1547310141?from=filter&spread=filtersearch_p&position=56&kwtype=filter&now_time=1550744821,88m²
116,绿地国际博览城博君  红谷滩-九龙湖新区-九龙大道1177号,17250元/m²,2014年建造,138,2室2厅,急售，急售，国愽房东因生意失败降价20万亏本大甩卖，只卖三天,中层(共32层),https://nc.anjuke.com/prop/view/A1578818934?from=filter&spread=filtersearch_p&position=57&kwtype=filter&now_time=1550744821,80m²
117,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,13895元/m²,2016年建造,132,3室2厅,九龙湖绿地国博城藏珑三房 16楼 前后无挡 楼下国博站和育新,中层(共32层),https://nc.anjuke.com/prop/view/A1587519566?from=filter&spread=filtersearch_p&position=58&kwtype=filter&now_time=1550744821,95m²
118,绿地国际博览城藏珑  红谷滩-九龙湖新区-九龙大道1177号,15016元/m²,2015年建造,143,3室2厅,博览城一期通透3房出售， 地铁口 产证在手 育新二中九年制,低层(共32层),https://nc.anjuke.com/prop/view/A1583735408?from=filter&spread=filtersearch_p&position=59&kwtype=filter&now_time=1550744821,95m²
119,绿地国际博览城博睿  红谷滩-九龙湖新区-九龙大道1177号,14624元/m²,2016年建造,136,3室2厅,九龙湖绿地国际博览城二期博睿 主卧带飘窗可看江景 26楼无挡,高层(共32层),https://nc.anjuke.com/prop/view/A1587519423?from=filter&spread=filtersearch_p&position=60&kwtype=filter&now_time=1550744821,93m²
