,具体地址,单价,建造年份,总价,房型,标题,楼层,链接,面积
1457,"绿地悦城A区  新建-九龙湖新区-西站大街,近三清山大道",15766元/m²,2015年建造,350,5室2厅,绿地悦城A区 市政府单位集资房 房东有车位 南师附小就在楼下,高层(共18层),https://nc.anjuke.com/prop/view/A1587817517?from=filter&spread=commsearch_p&position=1458&kwtype=filter&now_time=1550802631,222m²
1458,绿地悦城B区  新建-九龙湖新区-西站大街,17488元/m²,2014年建造,369,5室2厅,绿地悦城不靠高铁高层 东端户 实地拍摄 随时可看房,高层(共25层),https://nc.anjuke.com/prop/view/A1528896073?from=filter&spread=commsearch_p&position=1459&kwtype=filter&now_time=1550802631,211m²
1459,绿地悦城B区  新建-九龙湖新区-西站大街,16981元/m²,2015年建造,360,5室2厅,绿地悦城四加一 毛坯带车位 南师附小外国语学校近地铁产证在手,中层(共18层),https://nc.anjuke.com/prop/view/A1529111503?from=filter&spread=commsearch_p&position=1460&kwtype=filter&now_time=1550802631,212m²
1460,绿地悦城B区  新建-九龙湖新区-西站大街,17062元/m²,2015年建造,360,5室2厅,绿地悦城5房 F区高层 产证在手 带二个车位 实地拍摄随时看,中层(共25层),https://nc.anjuke.com/prop/view/A1528896083?from=filter&spread=commsearch_p&position=1461&kwtype=filter&now_time=1550802631,211m²
1461,"新力铂园  新建-九龙湖新区-龙虎山大道,近茶园街",17910元/m²,2018年建造,360,5室2厅,十年红谷滩五年九龙湖丨左邻右舍非富即贵丨低密度容积率高端叠墅,共5层,https://nc.anjuke.com/prop/view/A1555212531?from=filter&spread=commsearch_p&position=1462&kwtype=filter&now_time=1550802631,201m²
1462,"绿地悦城A区  新建-九龙湖新区-西站大街,近三清山大道",16351元/m²,2013年建造,345,5室2厅,"绿地悦城A区,房东是我亲戚，急售，看中可谈",高层(共25层),https://nc.anjuke.com/prop/view/A1517402796?from=filter&spread=commsearch_p&position=1463&kwtype=filter&now_time=1550802631,211m²
1463,新宇盛世广场  新建-九龙湖新区-西站大街1888号,9787元/m²,2018年建造,46,1室1厅,九龙湖新宇盛世广场西站大街精装修SOHO可返祖可自住可落户,中层(共24层),https://nc.anjuke.com/prop/view/A1570708262?from=filter&spread=commsearch_p&position=1464&kwtype=filter&now_time=1550802631,47m²
1464,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",8650元/m²,2018年建造,34.6,2室1厅,西站空中微墅 适合年轻人的小两房 户型好送阳台飘窗找我享95,中层(共23层),https://nc.anjuke.com/prop/view/A1588100204?from=filter&spread=commsearch_p&position=1465&kwtype=filter&now_time=1550802631,40m²
1465,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",17217元/m²,2014年建造,365,5室2厅,绿地悦城F区五房带两个车位 产证在手 离国体地铁口五百米即达,中层(共25层),https://nc.anjuke.com/prop/view/A1529088058?from=filter&spread=commsearch_p&position=1466&kwtype=filter&now_time=1550802631,212m²
1466,"新力铂园  新建-九龙湖新区-龙虎山大道,近茶园街",19900元/m²,2018年建造,398,6室3厅,新省政府旁 新力铂园高端叠墅上下3层 送私家花园来电享团优惠,共5层,https://nc.anjuke.com/prop/view/A1554013858?from=filter&spread=commsearch_p&position=1467&kwtype=filter&now_time=1550802631,200m²
1467,九龙湖花园一区  新建-九龙湖新区-祥云大道,15454元/m²,2015年建造,310,5室2厅,九龙湖花园 稀.缺大平层 通透大五房 大卧室 好楼层 诚售,中层(共17层),https://nc.anjuke.com/prop/view/A1585739812?from=filter&spread=commsearch_p&position=1468&kwtype=filter&now_time=1550802631,200m²
1468,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",9783元/m²,2017年建造,45,3室2厅,省妇保旁2号地铁口复试公寓 南北通透 民用水电可落户,高层(共20层),https://nc.anjuke.com/prop/view/A1564943809?from=filter&spread=commsearch_p&position=1469&kwtype=filter&now_time=1550802631,46m²
1469,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",10000元/m²,2017年建造,45,1室1厅,九龙湖 国体中心旁1手精装公寓LOFT 附近就是地铁,中层(共20层),https://nc.anjuke.com/prop/view/A1566293959?from=filter&spread=commsearch_p&position=1470&kwtype=filter&now_time=1550802631,45m²
1470,"新力铂园  新建-九龙湖新区-龙虎山大道,近茶园街",19785元/m²,2018年建造,368,5室2厅,九龙湖核心区域！高端别墅！带地下室带院子！70年产权!,共3层,https://nc.anjuke.com/prop/view/A1536337698?from=filter&spread=commsearch_p&position=1471&kwtype=filter&now_time=1550802631,186m²
1471,"新力铂园  新建-九龙湖新区-龙虎山大道,近茶园街",19785元/m²,2017年建造,368,4室2厅,九龙湖 西站旁 高档叠墅送超大露台 省府旁 双地铁 送花园,共3层,https://nc.anjuke.com/prop/view/A1546885788?from=filter&spread=commsearch_p&position=1472&kwtype=filter&now_time=1550802631,186m²
1472,新宇盛世广场  新建-九龙湖新区-西站大街1888号,12500元/m²,2017年建造,65,1室,西客站 新宇盛世广场 精装修 包租包管理 双地铁口,中层(共33层),https://nc.anjuke.com/prop/view/A1584142430?from=filter&spread=commsearch_p&position=1473&kwtype=filter&now_time=1550802631,52m²
1473,恒天时尚中心  新建-九龙湖新区-赣江南大道1566号,11354元/m²,2018年建造,55.5,1室1厅,红谷滩地铁口，一线江景房，270度江景尽收眼底，恒天时尚中心,低层(共27层),https://nc.anjuke.com/prop/view/A1583015679?from=filter&spread=commsearch_p&position=1474&kwtype=filter&now_time=1550802631,48m²
1474,华润凯旋门  新建-九龙湖新区-西站东街,15341元/m²,2015年建造,135,3室2厅,九龙湖核心区域148万买双地铁口3房 你还在犹豫什么,中层(共33层),https://nc.anjuke.com/prop/view/A1585639233?from=filter&spread=commsearch_p&position=1475&kwtype=filter&now_time=1550802631,88m²
1475,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20112元/m²,2016年建造,230,3室2厅,（万科自营）性价比 得房率超高 居住环境舒适 房东诚心出售,中层(共33层),https://nc.anjuke.com/prop/view/A1587744429?from=filter&spread=commsearch_p&position=1476&kwtype=filter&now_time=1550802631,114m²
1476,锦天府  新建-九龙湖新区-西站大街555号,15761元/m²,2015年建造,145,3室2厅,锦天府地铁龙岗站 西站旁 房东急售价格可谈 新龙岗学校,高层(共30层),https://nc.anjuke.com/prop/view/A1589231787?from=filter&spread=commsearch_p&position=1477&kwtype=filter&now_time=1550802631,92m²
1477,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,18304元/m²,2015年建造,205,3室2厅,（万科自营）南昌九龙湖中心地段，双学双铁靠近西客站，万科物业,高层(共33层),https://nc.anjuke.com/prop/view/A1583429271?from=filter&spread=commsearch_p&position=1478&kwtype=filter&now_time=1550802631,112m²
1478,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19737元/m²,2016年建造,225,3室2厅,（万科自营）得房率高 双学双铁 省人大省设计院集资房,高层(共33层),https://nc.anjuke.com/prop/view/A1587166543?from=filter&spread=commsearch_p&position=1479&kwtype=filter&now_time=1550802631,114m²
1479,锦天府  新建-九龙湖新区-西站大街555号,15179元/m²,2015年建造,170,3室2厅,锦天府新龙岗学校 省妇保旁 近地铁 低市场价20万,低层(共30层),https://nc.anjuke.com/prop/view/A1589245368?from=filter&spread=commsearch_p&position=1480&kwtype=filter&now_time=1550802631,112m²
1480,华润凯旋门  新建-九龙湖新区-西站东街,14545元/m²,2016年建造,128,3室2厅,回乡急售！华润凯旋门 含地下车位一个 中上楼层年底急用钱周转,中层(共32层),https://nc.anjuke.com/prop/view/A1588682661?from=filter&spread=commsearch_p&position=1481&kwtype=filter&now_time=1550802631,88m²
1481,绿地悦城D区  新建-九龙湖新区-西站大街,17622元/m²,2014年建造,252,3室2厅,绿地悦城大三房 南师附小 外国语中学 地铁二，四号线 西客站,高层(共16层),https://nc.anjuke.com/prop/view/A1579202901?from=filter&spread=commsearch_p&position=1482&kwtype=filter&now_time=1550802631,143m²
1482,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,16129元/m²,2016年建造,150,3室2厅,绿地国博城 看江房 3室2厅1卫 附近地铁 VR产业基地,低层(共31层),https://nc.anjuke.com/prop/view/A1586601850?from=filter&spread=commsearch_p&position=1483&kwtype=filter&now_time=1550802631,93m²
1483,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,15153元/m²,2015年建造,175,3室2厅,绿地国博城江景房 带精装修 房东卖掉去外地买房 只买三天,低层(共32层),https://nc.anjuke.com/prop/view/A1588677381?from=filter&spread=commsearch_p&position=1484&kwtype=filter&now_time=1550802631,115m²
1484,华润凯旋门  新建-九龙湖新区-西站东街,14796元/m²,2017年建造,145,3室2厅,华润凯旋门 有车位 省妇保边上 西站旁龙岗站地铁口 随时看房,中层(共32层),https://nc.anjuke.com/prop/view/A1588761837?from=filter&spread=commsearch_p&position=1485&kwtype=filter&now_time=1550802631,98m²
1485,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,14211元/m²,2015年建造,135,3室2厅,九龙湖 绿地国际博览城 通透小三房  育新学校 产证在手,中层(共32层),https://nc.anjuke.com/prop/view/A1583982154?from=filter&spread=commsearch_p&position=1486&kwtype=filter&now_time=1550802631,95m²
1486,绿地悦城E区  新建-九龙湖新区-江西省南昌市红角洲学府大道西站大街,17832元/m²,2015年建造,255,3室2厅,省重点打造区域 通透大三房 读南师附小 外国语 生活便捷,中层(共18层),https://nc.anjuke.com/prop/view/A1587633304?from=filter&spread=commsearch_p&position=1487&kwtype=filter&now_time=1550802631,143m²
1487,绿地悦城E区  新建-九龙湖新区-江西省南昌市红角洲学府大道西站大街,18182元/m²,2013年建造,260,3室2厅,绿地悦城，就读南师附小，外国语地铁2号线，钥匙在手，诚心出售,中层(共16层),https://nc.anjuke.com/prop/view/A1584235012?from=filter&spread=commsearch_p&position=1488&kwtype=filter&now_time=1550802631,143m²
1488,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,17204元/m²,2015年建造,160,3室2厅,绿地国际博览城 精装三房 通透大气 实拍 真,低层(共32层),https://nc.anjuke.com/prop/view/A1579452628?from=filter&spread=commsearch_p&position=1489&kwtype=filter&now_time=1550802631,93m²
1489,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",17483元/m²,2015年建造,250,3室2厅,一线江景 视野决佳 一二号线地铁口盘 大型商业配套 阳光入户,中层(共18层),https://nc.anjuke.com/prop/view/A1583083193?from=filter&spread=commsearch_p&position=1490&kwtype=filter&now_time=1550802631,143m²
1490,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19911元/m²,2015年建造,223,3室2厅,万科自营，万科粹叠园 超大平层 房东诚心出售 看房方便,高层(共33层),https://nc.anjuke.com/prop/view/A1587179665?from=filter&spread=commsearch_p&position=1491&kwtype=filter&now_time=1550802631,112m²
1491,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,14783元/m²,2015年建造,170,3室2厅,绿地国际博览城 通透大三房  前后双阳台 板式涉及 全天太阳,中层(共32层),https://nc.anjuke.com/prop/view/A1588715110?from=filter&spread=commsearch_p&position=1492&kwtype=filter&now_time=1550802631,115m²
1492,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",10000元/m²,2017年建造,36,2室1厅,九龙湖中心地段 西客站旁边双地铁口巨汇名住复式公寓 送阳台,中层(共20层),https://nc.anjuke.com/prop/view/A1584816492?from=filter&spread=commsearch_p&position=1493&kwtype=filter&now_time=1550802631,36m²
1493,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19947元/m²,2015年建造,379,4室2厅,（万科自营）万科粹叠园，超大4房，南北通透，双学 区房。,高层(共33层),https://nc.anjuke.com/prop/view/A1587180871?from=filter&spread=commsearch_p&position=1494&kwtype=filter&now_time=1550802631,190m²
1494,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,17826元/m²,2015年建造,410,4室2厅,（万科自营）唯一核心九龙湖指标厅长楼大四房，双地铁双学,中层(共30层),https://nc.anjuke.com/prop/view/A1587189518?from=filter&spread=commsearch_p&position=1495&kwtype=filter&now_time=1550802631,230m²
1495,九龙馨苑  新建-九龙湖新区-祥云大道,18773元/m²,2015年建造,306,4室2厅,九龙馨苑 视野阳光好 产证已下可按揭 小区配有食堂 业主急售,中层(共32层),https://nc.anjuke.com/prop/view/A1567204858?from=filter&spread=commsearch_p&position=1496&kwtype=filter&now_time=1550802631,163m²
1496,绿地悦城D区  新建-九龙湖新区-西站大街,15245元/m²,2013年建造,218,3室2厅,九龙湖绿地悦城南师附小外国语九龙湖核心地段,高层(共18层),https://nc.anjuke.com/prop/view/A1579393345?from=filter&spread=commsearch_p&position=1497&kwtype=filter&now_time=1550802631,143m²
1497,华润凯旋门  新建-九龙湖新区-西站东街,15278元/m²,2014年建造,165,3室2厅,西客站旁 地铁口龙岗站 华润凯旋门 南北通透三房 近省妇保,中层(共33层),https://nc.anjuke.com/prop/view/A1581471811?from=filter&spread=commsearch_p&position=1498&kwtype=filter&now_time=1550802631,108m²
1498,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19890元/m²,2016年建造,381,4室2厅,（万科自营）粹叠园省人大省建设院集资房得房率超高看房随时联系,高层(共33层),https://nc.anjuke.com/prop/view/A1587162240?from=filter&spread=commsearch_p&position=1499&kwtype=filter&now_time=1550802631,191m²
1499,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20293元/m²,2016年建造,285,4室2厅,（万科自营）九龙湖国体中心板块绿地悦城旁得房率超高粹叠园,低层(共33层),https://nc.anjuke.com/prop/view/A1587162245?from=filter&spread=commsearch_p&position=1500&kwtype=filter&now_time=1550802631,140m²
1500,明园九龙湾  新建-九龙湖新区-国体大道,19686元/m²,2016年建造,278,3室2厅,九龙湖核心区域配套完善带学位地铁口产证在手值得拥有,低层(共32层),https://nc.anjuke.com/prop/view/A1585671561?from=filter&spread=commsearch_p&position=1501&kwtype=filter&now_time=1550802632,141m²
1501,绿地悦城D区  新建-九龙湖新区-西站大街,19441元/m²,2014年建造,278,3室2厅,绿地悦城 少年宫 地铁口  国体旁 房东诚心出售,中层(共18层),https://nc.anjuke.com/prop/view/A1579710618?from=filter&spread=commsearch_p&position=1502&kwtype=filter&now_time=1550802632,143m²
1502,华润凯旋门  新建-九龙湖新区-西站东街,15730元/m²,2016年建造,140,3室2厅,华润凯旋门 省府省妇保西客站地铁旁 房东诚心出售 随时看房,高层(共32层),https://nc.anjuke.com/prop/view/A1588343224?from=filter&spread=commsearch_p&position=1503&kwtype=filter&now_time=1550802632,89m²
1503,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20000元/m²,2015年建造,280,4室2厅,万科自营，省人大住房 南师附小外国语 送车位 地铁口,低层(共33层),https://nc.anjuke.com/prop/view/A1587181799?from=filter&spread=commsearch_p&position=1504&kwtype=filter&now_time=1550802632,140m²
1504,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,15263元/m²,2013年建造,145,3室2厅,地铁口，博览中心，就读育新，全天阳光 通透三房环 境优美,低层(共32层),https://nc.anjuke.com/prop/view/A1584235018?from=filter&spread=commsearch_p&position=1505&kwtype=filter&now_time=1550802632,95m²
1505,"新力东园  新建-九龙湖新区-龙虎山大道,近上饶大道",15364元/m²,2016年建造,169,3室2厅,九龙湖新力园系里的保时捷高端精装修住宅 享受不一样的品质,中层(共30层),https://nc.anjuke.com/prop/view/A1582394823?from=filter&spread=commsearch_p&position=1506&kwtype=filter&now_time=1550802632,110m²
1506,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,14818元/m²,2014年建造,163,3室2厅,绿地国博城大三房 育新旁 采光视野好 房东诚售,低层(共32层),https://nc.anjuke.com/prop/view/A1579514027?from=filter&spread=commsearch_p&position=1507&kwtype=filter&now_time=1550802632,110m²
1507,"新力东园  新建-九龙湖新区-龙虎山大道,近上饶大道",14400元/m²,2015年建造,180,3室2厅,金茂悦 九龙湖豪装出售3房南北通透 首付三成不限购随时看,中层(共30层),https://nc.anjuke.com/prop/view/A1588738988?from=filter&spread=commsearch_p&position=1508&kwtype=filter&now_time=1550802632,125m²
1508,绿地国际博览城博君  新建-九龙湖新区-九龙大道1177号,14701元/m²,2015年建造,172,3室2厅,绿地国博城二期 通透端户 捡漏 房东急售换房差首付,低层(共32层),https://nc.anjuke.com/prop/view/A1578980824?from=filter&spread=commsearch_p&position=1509&kwtype=filter&now_time=1550802632,117m²
1509,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20942元/m²,2016年建造,400,4室2厅,（万科自营）九龙湖绿地悦城旁 双学双铁 得房率高,高层(共33层),https://nc.anjuke.com/prop/view/A1587169088?from=filter&spread=commsearch_p&position=1510&kwtype=filter&now_time=1550802632,191m²
1510,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20088元/m²,2016年建造,289,4室2厅,（万科自营）九龙湖不限购区域中心地段就选万科粹叠园,高层(共33层),https://nc.anjuke.com/prop/view/A1587162258?from=filter&spread=commsearch_p&position=1511&kwtype=filter&now_time=1550802632,143m²
1511,绿地悦城E区  新建-九龙湖新区-江西省南昌市红角洲学府大道西站大街,18881元/m²,2015年建造,270,3室2厅,悦城17楼 江景房 送车位 全天阳光 小区中间位置 双学位,高层(共18层),https://nc.anjuke.com/prop/view/A1585678233?from=filter&spread=commsearch_p&position=1512&kwtype=filter&now_time=1550802632,143m²
1512,绿地悦城D区  新建-九龙湖新区-西站大街,18881元/m²,2014年建造,270,3室2厅,九龙湖 省政府集资房 绿地悦城 中间楼层 远离高铁,中层(共18层),https://nc.anjuke.com/prop/view/A1583957658?from=filter&spread=commsearch_p&position=1513&kwtype=filter&now_time=1550802632,143m²
1513,"绿地悦城A区  新建-九龙湖新区-西站大街,近三清山大道",18322元/m²,2015年建造,262,3室2厅,出门南师附小 地铁步行五份钟 看小区美景 享成熟商业配套,低层(共18层),https://nc.anjuke.com/prop/view/A1586032546?from=filter&spread=commsearch_p&position=1514&kwtype=filter&now_time=1550802632,143m²
1514,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,16842元/m²,2014年建造,160,3室2厅,"绿地国博端正三房,地铁口国博站刚区三房，读育新名校 带车位",中层(共32层),https://nc.anjuke.com/prop/view/A1579024456?from=filter&spread=commsearch_p&position=1515&kwtype=filter&now_time=1550802632,95m²
1515,华润凯旋门  新建-九龙湖新区-西站东街,16036元/m²,2014年建造,178,4室2厅,红谷滩九龙湖新区不限购 华润物业 小高层通透四房 省妇保旁,低层(共11层),https://nc.anjuke.com/prop/view/A1588876453?from=filter&spread=commsearch_p&position=1516&kwtype=filter&now_time=1550802632,111m²
1516,华润凯旋门  新建-九龙湖新区-西站东街,14583元/m²,2016年建造,105,2室2厅,省府南昌西站旁 不限购南师附小无档视野小两房 地铁口房东诚售,高层(共32层),https://nc.anjuke.com/prop/view/A1585072813?from=filter&spread=commsearch_p&position=1517&kwtype=filter&now_time=1550802632,72m²
1517,华润凯旋门  新建-九龙湖新区-西站东街,15220元/m²,2015年建造,135,3室2厅,九龙湖西站旁 房东低 价出售 得房率超高 位置极好,低层(共11层),https://nc.anjuke.com/prop/view/A1578996848?from=filter&spread=commsearch_p&position=1518&kwtype=filter&now_time=1550802632,88m²
1518,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,14348元/m²,2013年建造,165,3室2厅,绿地国博城 房东去国外置换 诚心客户价格可谈 可贷款,低层(共34层),https://nc.anjuke.com/prop/view/A1587682779?from=filter&spread=commsearch_p&position=1519&kwtype=filter&now_time=1550802632,115m²
1519,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",15519元/m²,2014年建造,329,5室2厅,绿地悦城 4房送1房 地铁口 商业街 国体旁 房东诚售,低层(共28层),https://nc.anjuke.com/prop/view/A1579734924?from=filter&spread=commsearch_p&position=1520&kwtype=filter&now_time=1550802632,212m²
1520,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,18794元/m²,2016年建造,360,4室2厅,（万科自营）省人大省设计院集资房，得房率超高，双学位双地铁,低层(共33层),https://nc.anjuke.com/prop/view/A1587162224?from=filter&spread=commsearch_p&position=1521&kwtype=filter&now_time=1550802632,191m²
1521,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,13474元/m²,2014年建造,128,3室2厅,绿地国际博览城 小三房 育新学校 业主诚心出售 随时看房,高层(共18层),https://nc.anjuke.com/prop/view/A1579680177?from=filter&spread=commsearch_p&position=1522&kwtype=filter&now_time=1550802632,95m²
1522,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,15855元/m²,2016年建造,218.8,4室2厅,国博城小高层户型好送车位区域读二中产证在手满两年，诚心卖,低层(共11层),https://nc.anjuke.com/prop/view/A1584161821?from=filter&spread=commsearch_p&position=1523&kwtype=filter&now_time=1550802632,138m²
1523,九龙馨苑  新建-九龙湖新区-祥云大道,20273元/m²,2015年建造,223,3室2厅,九龙馨苑 小区自带食堂 产证已下 读南师附小和外国语 急售,高层(共32层),https://nc.anjuke.com/prop/view/A1567204892?from=filter&spread=commsearch_p&position=1524&kwtype=filter&now_time=1550802632,110m²
1524,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19601元/m²,2016年建造,282,4室2厅,（万科自营）九龙湖中心近地铁2号线外国语初中对面读南师粹叠园,高层(共33层),https://nc.anjuke.com/prop/view/A1587162256?from=filter&spread=commsearch_p&position=1525&kwtype=filter&now_time=1550802632,143m²
1525,九龙湖花园一区  新建-九龙湖新区-祥云大道,17395元/m²,2015年建造,280,4室2厅,九龙湖花园  省政府住宅 地段和学校的不二选择  业主诚心卖,中层(共32层),https://nc.anjuke.com/prop/view/A1567204802?from=filter&spread=commsearch_p&position=1526&kwtype=filter&now_time=1550802632,160m²
1526,明园九龙湾  新建-九龙湖新区-国体大道,19815元/m²,2016年建造,280,4室2厅,东端户江景房 地铁口 双学位 品质楼盘 省政府旁九龙湖中心,高层(共33层),https://nc.anjuke.com/prop/view/A1585662735?from=filter&spread=commsearch_p&position=1527&kwtype=filter&now_time=1550802632,141m²
1527,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",15991元/m²,2015年建造,355,5室2厅,低密度 大楼盘 成熟社区 人性化服务双地铁 双学位 诚邀品鉴,低层(共25层),https://nc.anjuke.com/prop/view/A1587648517?from=filter&spread=commsearch_p&position=1528&kwtype=filter&now_time=1550802632,222m²
1528,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,19943元/m²,2016年建造,382,4室2厅,（万科自营）九龙湖省人大省设计总院集资房得房率超高性价比超高,低层(共33层),https://nc.anjuke.com/prop/view/A1587162238?from=filter&spread=commsearch_p&position=1529&kwtype=filter&now_time=1550802632,191m²
1529,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20524元/m²,2014年建造,293.5,4室2厅,精装居家四房毛坯价 自住投紫两不误 到手可租3000学位房,低层(共33层),https://nc.anjuke.com/prop/view/A1586044918?from=filter&spread=commsearch_p&position=1530&kwtype=filter&now_time=1550802632,143m²
1530,锦天府  新建-九龙湖新区-西站大街555号,14455元/m²,2014年建造,159,3室2厅,西站旁 品质住宅 龙岗地铁站50米 纯东端户 房东诚心出售,中层(共28层),https://nc.anjuke.com/prop/view/A1588921934?from=filter&spread=commsearch_p&position=1531&kwtype=filter&now_time=1550802632,110m²
1531,力高御景天城  新建-九龙湖新区-西站大街518号,14796元/m²,2017年建造,145,3室2厅,力高御景天城不限购 99通透户型 近地铁临省妇幼保 临西客站,中层(共28层),https://nc.anjuke.com/prop/view/A1588838007?from=filter&spread=commsearch_p&position=1532&kwtype=filter&now_time=1550802632,98m²
1532,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20942元/m²,2016年建造,400,4室2厅,万科粹叠园 房东着急出手 双学双铁,高层(共33层),https://nc.anjuke.com/prop/view/A1587169078?from=filter&spread=commsearch_p&position=1533&kwtype=filter&now_time=1550802632,191m²
1533,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20942元/m²,2015年建造,400,4室2厅,万科粹叠园 绿地悦城旁边 外国语初高中 双学双铁,低层(共33层),https://nc.anjuke.com/prop/view/A1587169096?from=filter&spread=commsearch_p&position=1534&kwtype=filter&now_time=1550802632,191m²
1534,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",17832元/m²,2014年建造,255,3室2厅,绿地悦城江景大三房 地铁口 恒天旁 房东急售急售急售,高层(共18层),https://nc.anjuke.com/prop/view/A1579726019?from=filter&spread=commsearch_p&position=1535&kwtype=filter&now_time=1550802632,143m²
1535,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",10826元/m²,2019年建造,49.8,1室1厅,九龙湖毗邻西客站 精装loft公寓长途汽车站妇幼保健院等配套,高层(共22层),https://nc.anjuke.com/prop/view/A1586753175?from=filter&spread=commsearch_p&position=1536&kwtype=filter&now_time=1550802632,46m²
1536,明园九龙湾  新建-九龙湖新区-国体大道,19686元/m²,2015年建造,370,4室2厅,明园九龙湾 超大4房 南北通透 视野好 采光好 业主出省急售,低层(共30层),https://nc.anjuke.com/prop/view/A1567204877?from=filter&spread=commsearch_p&position=1537&kwtype=filter&now_time=1550802632,187m²
1537,红谷瑞仕城际广场  新建-九龙湖新区-西站大街,10426元/m²,2018年建造,49,2室2厅,九龙湖西站旁 地铁旁 4.2米LOFT复式公寓 现房 现房,高层(共11层),https://nc.anjuke.com/prop/view/A1570815847?from=filter&spread=commsearch_p&position=1538&kwtype=filter&now_time=1550802632,47m²
1538,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,17609元/m²,2015年建造,405,4室2厅,（万科自营） 万科粹叠园 超大平层 房东诚心出售 看房方便,中层(共30层),https://nc.anjuke.com/prop/view/A1587180453?from=filter&spread=commsearch_p&position=1539&kwtype=filter&now_time=1550802632,230m²
1539,锦天府  新建-九龙湖新区-西站大街555号,14747元/m²,2017年建造,146,3室2厅,小区门口50米龙岗站地铁口 背靠新龙岗学校 面对省妇保西客站,高层(共28层),https://nc.anjuke.com/prop/view/A1588898196?from=filter&spread=commsearch_p&position=1540&kwtype=filter&now_time=1550802632,99m²
1540,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,17857元/m²,2015年建造,200,3室2厅,万科粹叠园 地铁4号线口 对面外国语学校 江景房 户型方正,高层(共33层),https://nc.anjuke.com/prop/view/A1585665131?from=filter&spread=commsearch_p&position=1541&kwtype=filter&now_time=1550802632,112m²
1541,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",16084元/m²,2014年建造,230,3室2厅,九龙湖中心 绿地悦城 南师附小 地铁2号4号线 有个大露台,低层(共18层),https://nc.anjuke.com/prop/view/A1580377377?from=filter&spread=commsearch_p&position=1542&kwtype=filter&now_time=1550802632,143m²
1542,绿地国际博览城博浩  新建-九龙湖新区-九龙大道1177号,14316元/m²,2017年建造,136,3室2厅,绿地国际博览城 博浩 绿地双子塔 嘉诚新悦物业 高档品质生活,高层(共32层),https://nc.anjuke.com/prop/view/A1583580852?from=filter&spread=commsearch_p&position=1543&kwtype=filter&now_time=1550802632,95m²
1543,九龙湖花园一区  新建-九龙湖新区-祥云大道,15709元/m²,2015年建造,190,3室2厅,九龙湖花园 省政府住房 全天阳光 视野好 读重点学校 首付低,中层(共32层),https://nc.anjuke.com/prop/view/A1567204776?from=filter&spread=commsearch_p&position=1544&kwtype=filter&now_time=1550802632,120m²
1544,"绿地悦城F区  新建-九龙湖新区-西站大街,近三清山大道",19274元/m²,2014年建造,276,3室2厅,绿地悦城大气3房 业主30万居家装修  产证在手 出省急售,高层(共20层),https://nc.anjuke.com/prop/view/A1567204814?from=filter&spread=commsearch_p&position=1545&kwtype=filter&now_time=1550802632,143m²
